iter	Passed	Remaining
0	57	57007
1	57	28605
2	57	19137
3	57	14402
4	58	11565
5	58	9671
6	58	8318
7	58	7303
8	59	6514
9	59	5880
10	59	5363
11	59	4931
12	60	4567
13	60	4252
14	60	3980
15	60	3742
16	61	3533
17	61	3347
18	61	3180
19	61	3029
20	62	2892
21	62	2768
22	62	2655
23	62	2551
24	63	2458
25	63	2370
26	63	2289
27	63	2214
28	64	2143
29	64	2078
30	64	2017
31	64	1959
32	65	1906
33	65	1855
34	65	1807
35	65	1761
36	66	1718
37	66	1679
38	66	1641
39	66	1606
40	67	1576
41	67	1542
42	67	1510
43	68	1479
44	68	1452
45	72	1510
46	73	1484
47	73	1459
48	74	1449
49	74	1424
50	75	1399
51	75	1375
52	75	1351
53	75	1329
54	76	1307
55	76	1286
56	76	1266
57	76	1246
58	76	1227
59	77	1209
60	77	1193
61	77	1176
62	77	1159
63	78	1143
64	78	1127
65	78	1112
66	78	1098
67	79	1083
68	79	1070
69	79	1056
70	79	1043
71	80	1031
72	80	1019
73	80	1007
74	80	995
75	80	984
76	81	973
77	81	962
78	81	951
79	81	941
80	82	931
81	82	921
82	82	910
83	82	901
84	82	892
85	83	883
86	83	874
87	83	865
88	83	857
89	84	851
90	84	846
91	85	839
92	85	831
93	85	823
94	85	816
95	86	810
96	86	803
97	86	795
98	86	788
99	86	781
100	87	775
101	87	768
102	87	762
103	87	755
104	87	749
105	88	744
106	88	738
107	88	732
108	88	727
109	89	721
110	89	716
111	89	710
112	89	705
113	90	700
114	90	695
115	90	689
116	90	684
117	90	679
118	91	674
119	91	669
120	91	665
121	91	660
122	91	655
123	92	651
124	92	646
125	92	643
126	92	638
127	93	634
128	93	630
129	93	626
130	93	622
131	94	618
132	94	614
133	94	610
134	94	607
135	94	603
136	95	599
137	95	596
138	95	592
139	95	589
140	96	585
141	96	581
142	96	578
143	96	575
144	96	571
145	97	568
146	97	565
147	97	562
148	97	559
149	98	556
150	98	553
151	98	550
152	98	547
153	99	544
154	99	541
155	99	540
156	100	538
157	100	535
158	100	533
159	101	530
160	101	527
161	101	524
162	101	522
163	101	519
164	102	516
165	102	514
166	102	511
167	102	509
168	103	506
169	103	503
170	103	501
171	103	498
172	103	496
173	104	494
174	104	491
175	104	489
176	104	487
177	104	484
178	105	482
179	105	480
180	105	478
181	105	475
182	106	473
183	106	471
184	106	469
185	106	467
186	107	466
187	107	464
188	107	462
189	107	460
190	108	458
191	108	456
192	108	454
193	108	452
194	109	450
195	109	448
196	109	446
197	109	444
198	109	442
199	110	440
200	110	438
201	110	437
202	110	435
203	111	433
204	111	431
205	111	430
206	111	428
207	112	426
208	112	424
209	112	423
210	112	421
211	112	419
212	113	418
213	113	416
214	113	414
215	113	413
216	114	411
217	114	409
218	114	408
219	114	407
220	115	406
221	115	406
222	116	404
223	116	403
224	116	401
225	116	399
226	116	398
227	117	397
228	117	395
229	117	394
230	117	392
231	118	391
232	118	389
233	118	388
234	118	387
235	119	385
236	119	384
237	119	383
238	119	381
239	120	380
240	120	378
241	120	377
242	120	376
243	121	374
244	121	373
245	121	372
246	121	370
247	121	369
248	122	368
249	122	367
250	122	365
251	122	364
252	122	363
253	123	361
254	123	360
255	123	359
256	123	358
257	124	357
258	124	355
259	124	354
260	124	353
261	125	352
262	125	351
263	125	350
264	125	349
265	126	348
266	126	346
267	126	345
268	126	344
269	126	343
270	127	342
271	127	341
272	127	340
273	127	338
274	128	337
275	128	336
276	128	335
277	128	334
278	129	333
279	129	332
280	129	331
281	129	330
282	130	329
283	130	328
284	130	327
285	130	326
286	131	325
287	131	324
288	131	323
